time,x,y,z,yaw,pitch,roll
0,49.0263,1.75796,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.02,48.6687,1.75399,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.04,48.3111,1.75001,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.06,47.9534,1.74604,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.08,47.5958,1.74206,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.1,47.2382,1.73809,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.12,46.8806,1.73411,-1.51998e-08,3.15271,2.25087e-14,1.09838e-08
0.14,46.523,1.73014,0,3.15271,-0,-0
0.16,46.1654,1.72617,0,3.15271,-0,-0
0.18,45.8078,1.72219,0,3.15271,-0,-0
0.2,45.4502,1.71822,0,3.15271,-0,-0
0.22,45.0926,1.71424,0,3.15271,-0,-0
0.24,44.735,1.71027,0,3.15271,-0,-0
0.26,44.3773,1.70629,0,3.15271,-0,-0
0.28,44.0197,1.70232,0,3.15271,-0,-0
0.3,43.6621,1.69834,0,3.15271,-0,-0
0.32,43.3045,1.69437,0,3.15271,-0,-0
0.34,42.9469,1.69039,0,3.15271,-0,-0
0.36,42.5893,1.68642,0,3.15271,-0,-0
0.38,42.2317,1.68244,0,3.15271,-0,-0
0.4,41.8741,1.67847,0,3.15271,-0,-0
0.42,41.5165,1.67449,0,3.15271,-0,-0
0.44,41.1589,1.67052,0,3.15271,-0,-0
0.46,40.8012,1.66655,0,3.15271,-0,-0
0.48,40.4436,1.66257,0,3.15271,-0,-0
0.5,40.086,1.6586,0,3.15271,-0,-0
0.52,39.7284,1.65462,0,3.15271,-0,-0
0.54,39.3708,1.65065,0,3.15271,-0,-0
0.56,39.0132,1.64667,0,3.15271,-0,-0
0.58,38.6556,1.6427,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.6,38.298,1.63872,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.62,37.9404,1.63475,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.64,37.5828,1.63077,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.66,37.2251,1.6268,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.68,36.8675,1.62282,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.7,36.5099,1.61885,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.72,36.1523,1.61488,-7.30124e-09,3.15271,1.31364e-08,-5.49187e-09
0.74,35.7947,1.6109,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
0.76,35.4371,1.60693,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
0.78,35.0795,1.60295,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
0.8,34.7219,1.59898,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
0.82,34.3643,1.595,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
0.84,34.0067,1.59103,-2.22024e-08,3.15271,1.31364e-08,-5.49188e-09
0.86,33.649,1.58705,-7.59992e-09,3.15271,3.94092e-08,5.49188e-09
0.88,33.2914,1.58308,-2.98023e-08,3.15271,-1.47137e-23,-1.58809e-23
0.9,32.9338,1.5791,-2.98023e-08,3.15271,1.86749e-23,-4.28085e-23
0.92,32.5762,1.57513,-2.98023e-08,3.15271,-4.29168e-24,-6.04356e-23
0.94,32.2186,1.57115,-2.98023e-08,3.15271,-1.64507e-24,-8.45516e-25
0.96,31.861,1.56718,-2.98023e-08,3.15271,-1.50717e-24,-1.32525e-23
0.98,31.5034,1.5632,-2.98023e-08,3.15271,-1.80222e-23,-1.59177e-23
1,31.1458,1.55923,-2.98023e-08,3.15271,3.8048e-23,4.22884e-25
1.02,30.7882,1.55526,5.97358e-10,3.15271,-4.50175e-14,-2.19675e-08
1.04,30.4306,1.55128,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.06,30.0729,1.54731,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.08,29.7153,1.54333,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.1,29.3577,1.53936,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.12,29.0001,1.53538,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.14,28.6425,1.53141,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.16,28.2849,1.52743,-2.25011e-08,3.15271,-1.31364e-08,5.49187e-09
1.18,27.9273,1.52346,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.2,27.5697,1.51948,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.22,27.2121,1.51551,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.24,26.8545,1.51153,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.26,26.4968,1.50756,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.28,26.1392,1.50358,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.3,25.7816,1.49961,-7.59992e-09,3.15271,-1.31364e-08,5.49188e-09
1.32,25.424,1.49564,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.34,25.0664,1.49166,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.36,24.7088,1.48769,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.38,24.3512,1.48371,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.4,23.9936,1.47974,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.42,23.636,1.47576,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.44,23.2784,1.47179,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.46,22.9208,1.46781,1.46025e-08,3.15271,2.25087e-14,1.09838e-08
1.48,22.5631,1.46384,2.98023e-08,3.15271,1.42443e-24,2.06966e-23
1.5,22.2055,1.45986,2.98023e-08,3.15271,-1.91892e-23,-5.9774e-23
1.52,21.8479,1.45589,2.98023e-08,3.15271,1.45206e-23,3.32507e-23
1.54,21.4903,1.45191,2.98023e-08,3.15271,-2.98676e-24,-2.89863e-23
1.56,21.1327,1.44794,2.98023e-08,3.15271,-4.64102e-24,-2.90047e-23
1.58,20.7751,1.44396,2.98023e-08,3.15271,8.37242e-24,-9.00649e-24
1.6,20.4175,1.43999,2.98023e-08,3.15271,-5.16503e-24,1.81417e-23
1.62,20.0599,1.43602,2.98023e-08,3.15271,-5.0639e-24,9.04327e-24
1.64,19.7023,1.43204,2.98023e-08,3.15271,-4.97197e-24,7.71971e-25
1.66,19.3447,1.42807,2.98023e-08,3.15271,-8.64821e-24,3.38204e-23
1.68,18.987,1.42409,2.98023e-08,3.15271,-3.21659e-24,-8.30807e-24
1.7,18.6294,1.42012,2.98023e-08,3.15271,-5.14664e-24,1.64874e-23
